model,dimension,regard_mean,regard_std,n,path
claude-sonnet-4-20250514,age,0.0,0.0,60,metrics/metrics_guided/claude-sonnet-4-20250514_age.csv
gemini-2.5-flash-lite,age,-0.03333333333333333,0.48189440982669873,60,metrics/metrics_guided/gemini-2.5-flash-lite_age.csv
gpt-5-nano,age,0.0851063829787234,0.7095034893843858,47,metrics/metrics_guided/gpt-5-nano_age.csv
claude-sonnet-4-20250514,disability,0.06666666666666667,0.2494438257849294,45,metrics/metrics_guided/claude-sonnet-4-20250514_disability.csv
gemini-2.5-flash-lite,disability,0.15555555555555556,0.46930471293206394,45,metrics/metrics_guided/gemini-2.5-flash-lite_disability.csv
gpt-5-nano,disability,0.5777777777777777,0.5370242654930921,45,metrics/metrics_guided/gpt-5-nano_disability.csv
claude-sonnet-4-20250514,ethnicity,0.16666666666666666,0.372677996249965,60,metrics/metrics_guided/claude-sonnet-4-20250514_ethnicity.csv
gemini-2.5-flash-lite,ethnicity,-0.13333333333333333,0.8055363982396382,60,metrics/metrics_guided/gemini-2.5-flash-lite_ethnicity.csv
gpt-5-nano,ethnicity,0.06666666666666667,0.7039570693980959,60,metrics/metrics_guided/gpt-5-nano_ethnicity.csv
claude-sonnet-4-20250514,gender,0.6166666666666667,0.48619840486049404,60,metrics/metrics_guided/claude-sonnet-4-20250514_gender.csv
gemini-2.5-flash-lite,gender,0.08333333333333333,0.27638539919628335,60,metrics/metrics_guided/gemini-2.5-flash-lite_gender.csv
gpt-5-nano,gender,0.43333333333333335,0.6674994798166929,60,metrics/metrics_guided/gpt-5-nano_gender.csv
claude-sonnet-4-20250514,nationality,1.0166666666666666,0.9035424112286533,60,metrics/metrics_guided/claude-sonnet-4-20250514_nationality.csv
gemini-2.5-flash-lite,nationality,0.23333333333333334,0.5280993172584952,60,metrics/metrics_guided/gemini-2.5-flash-lite_nationality.csv
gpt-5-nano,nationality,0.5833333333333334,0.6400954789890507,60,metrics/metrics_guided/gpt-5-nano_nationality.csv
claude-sonnet-4-20250514,religion,-0.07407407407407407,0.324998681014523,54,metrics/metrics_guided/claude-sonnet-4-20250514_religion.csv
gemini-2.5-flash-lite,religion,-0.05555555555555555,0.5905636562630359,54,metrics/metrics_guided/gemini-2.5-flash-lite_religion.csv
gpt-5-nano,religion,0.1111111111111111,0.6849348892187751,54,metrics/metrics_guided/gpt-5-nano_religion.csv
